Phase,Task ID,Task Name,Category,Description,AWS Source Service,Azure Target Service,Priority,Estimated Effort,Dependencies,Labels,Acceptance Criteria
1 - Assessment,1.1,Document Current Application Architecture,Assessment,"Inventory the tasky Go web application stack including runtime (Go/Gin), database (MongoDB 4.0.x), storage (S3 backups), containerization (Docker multi-stage), and Kubernetes orchestration (EKS). Capture all service endpoints, ports, environment variables, and configuration dependencies.",N/A,N/A,High,2 days,None,phase:assessment;task:documentation,"Application architecture documented with all component dependencies, ports, environment variables, and service interactions captured in a technical specification"
1 - Assessment,1.2,Inventory Current AWS Infrastructure as Code,Assessment,"Catalog all Terraform modules (vpc, eks, mongodb-ec2, s3-backup, alb) and their resource definitions. Document provider versions, backend state configuration (S3 + DynamoDB), variable inputs, outputs, and inter-module dependencies.",AWS (Terraform IaC),N/A,High,2 days,None,phase:assessment;task:documentation,"Complete inventory of all Terraform modules, resources, variables, outputs, and state backend configuration documented"
1 - Assessment,1.3,Inventory GitHub Actions CI/CD Workflows,Assessment,"Document current GitHub Actions workflows: build-and-publish.yml (Docker image CI), terraform-plan.yml (IaC validation), terraform-apply.yml (IaC deployment + app deploy), cost-analysis.yml (cost reporting). Capture all secrets, variables, OIDC configuration, and environment references.",GitHub Actions + AWS OIDC,N/A,High,1 day,None,phase:assessment;task:documentation,"All CI/CD workflows documented with secrets, variables, triggers, environment references, and deployment flow captured"
1 - Assessment,1.4,Document Current Tagging and Billing Strategy,Assessment,"Review current AWS resource tagging strategy (Project, Environment, StackVersion, ManagedBy, Owner, CreatedDate) and document billing/cost tracking approach for migration to Azure tagging and cost management.",AWS Resource Tags,Azure Resource Tags,Medium,1 day,1.1,phase:assessment;task:documentation,"Current tagging taxonomy documented with mapping to Azure tag requirements for billing codes and IS asset tracking"
1 - Assessment,1.5,Identify Application Configuration Dependencies,Assessment,"Map all application runtime configuration: MONGODB_URI, SECRET_KEY, PORT, GIN_MODE, and any other env vars. Document Kubernetes manifests (deployment, service, ingress, configmap, secret, rbac, namespace) and their cloud-provider-specific dependencies.",AWS EKS / K8s,Azure AKS / K8s,High,1 day,1.1,phase:assessment;task:documentation,"All application configuration dependencies mapped with cloud-provider-specific items flagged for migration"
2 - Service Mapping,2.1,Map VPC Networking to Azure Virtual Network,Service Mapping,"Map AWS VPC (10.0.0.0/16), public/private subnets across 3 AZs, Internet Gateway, NAT Gateway, route tables, and VPC endpoints to Azure Virtual Network, subnets, NSGs, NAT Gateway, and service endpoints.",AWS VPC + Subnets + IGW + NAT GW,Azure VNet + Subnets + NSG + NAT GW,High,1 day,1.2,phase:service-mapping;task:research,"Documented mapping of AWS VPC components to Azure VNet equivalents with CIDR planning and subnet strategy"
2 - Service Mapping,2.2,Map EKS to Azure Kubernetes Service (AKS),Service Mapping,"Map AWS EKS cluster (v1.28), managed node groups (t3.medium, ON_DEMAND), EKS addons (vpc-cni, coredns, kube-proxy, ebs-csi), IRSA for ALB controller, and cluster security groups to AKS equivalents.",AWS EKS,Azure AKS,High,2 days,1.2,phase:service-mapping;task:research,"Documented mapping of EKS cluster configuration to AKS including node pools, addons, managed identity, and networking model"
2 - Service Mapping,2.3,Map MongoDB EC2 to Azure Cosmos DB for MongoDB,Service Mapping,"Map self-managed MongoDB 4.0.x on EC2 (Amazon Linux 2) to Azure Cosmos DB for MongoDB API as PaaS replacement. Evaluate API compatibility, connection string format, authentication, and data migration strategy.",AWS EC2 + MongoDB 4.0.x,Azure Cosmos DB (MongoDB API),High,2 days,1.2,phase:service-mapping;task:research,"Documented mapping of MongoDB deployment to Cosmos DB for MongoDB API with compatibility assessment, connection string format changes, and authentication approach"
2 - Service Mapping,2.4,Map S3 Backup Storage to Azure Blob Storage,Service Mapping,"Map S3 bucket (versioning, lifecycle, public read access) to Azure Blob Storage with container access policies, lifecycle management, and public URL access pattern for MongoDB backups.",AWS S3,Azure Blob Storage,Medium,1 day,1.2,phase:service-mapping;task:research,"Documented mapping of S3 backup bucket configuration to Azure Blob Storage with equivalent access policies, lifecycle rules, and public URL format"
2 - Service Mapping,2.5,Map ALB to Azure Application Gateway or AKS Ingress,Service Mapping,"Map AWS ALB (via AWS Load Balancer Controller in K8s) to Azure Application Gateway Ingress Controller (AGIC) or nginx-ingress on AKS. Evaluate Kubernetes ingress compatibility and TLS termination.",AWS ALB (K8s managed),Azure App Gateway / AKS Ingress,Medium,1 day,1.2;2.2,phase:service-mapping;task:research,"Documented mapping of ALB/ingress approach to Azure equivalent with ingress controller selection and configuration plan"
2 - Service Mapping,2.6,Map IAM Roles and OIDC to Azure RBAC and Managed Identity,Service Mapping,"Map AWS IAM roles (EKS cluster role, node group role, ALB controller IRSA, MongoDB EC2 instance profile with AdminAccess) to Azure RBAC, Managed Identities, and AKS workload identity.",AWS IAM + OIDC,Azure RBAC + Managed Identity,High,2 days,1.2,phase:service-mapping;task:research,"Documented mapping of all IAM roles and OIDC federation to Azure RBAC assignments, managed identities, and AKS workload identity"
